ID,SATModel + seq,SATModel + np,SATModel + bw,SATModel + he
-,\textbf{8},\textbf{8},\textbf{8},\textbf{8}
-,\textbf{9},\textbf{9},\textbf{9},\textbf{9}
-,\textbf{10},\textbf{10},\textbf{10},\textbf{10}
-,\textbf{11},\textbf{11},\textbf{11},\textbf{11}
-,\textbf{12},\textbf{12},\textbf{12},\textbf{12}
-,\textbf{13},\textbf{13},\textbf{13},\textbf{13}
-,\textbf{14},\textbf{14},\textbf{14},\textbf{14}
-,\textbf{15},\textbf{15},\textbf{15},\textbf{15}
-,\textbf{16},\textbf{16},\textbf{16},\textbf{16}
-,\textbf{17},\textbf{17},\textbf{17},\textbf{17}
-,N|A,N|A,\textbf{18},N|A
-,\textbf{19},\textbf{19},\textbf{19},\textbf{19}
-,\textbf{20},\textbf{20},\textbf{20},\textbf{20}
-,\textbf{21},\textbf{21},\textbf{21},\textbf{21}
-,\textbf{22},\textbf{22},\textbf{22},\textbf{22}
-,N|A,N|A,N|A,N|A
-,N|A,N|A,\textbf{24},N|A
-,N|A,N|A,N|A,N|A
-,N|A,N|A,N|A,N|A
-,N|A,N|A,N|A,N|A
-,N|A,N|A,-,-
-,N|A,N|A,-,-
-,N|A,N|A,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
-,N|A,-,-,-
